timeSec[s]	codePseudorange1[m]	codePseudorange2[m]	codePseudorange3[m]	codePseudorange4[m]	codePseudorange5[m]	pseudorangeRate1[m/s]	pseudorangeRate2[m/s]	pseudorangeRate3[m/s]	pseudorangeRate4[m/s]	pseudorangeRate5[m/s]
36861.785000000003	444.483193336595	785.038180501235	292.995450249915	243.547083388228	836.215239197779	-0.646241821571	1.495756239199	-0.222209679837	1.142835026310	2.598759725588
36862.785000000003	443.559877314323	785.817709821041	293.242274168420	244.052738731299	838.802451810870	-1.688414124573	-0.224435377085	0.853750267923	-0.349595776859	2.195788946130
36863.785000000003	442.069812581128	785.640330173895	294.288462977359	243.309213115265	840.910997607407	-1.064051017091	0.013365130730	0.873656877881	-0.660851433186	1.196979847048
36864.785000000003	441.953593540907	783.297334665680	294.732372526565	242.878674651929	840.371514309241	-0.018392495130	-0.047169729936	0.020477726341	-0.034548282963	-0.048971725821
36865.785000000003	442.228946410494	782.401828488750	294.646847327699	242.265771117527	839.957288124031	0.343979598797	0.060965283867	-0.337348768778	0.191295451565	-0.493918351781
36866.785000000003	443.101726395325	783.817692029350	293.975601737517	243.088166829188	839.190151385299	1.442203829787	1.021983166722	-1.359492040886	0.929071052480	-1.260335922045
36867.785000000003	444.507340302621	785.717426697570	292.420866138154	244.646214710779	838.395339406168	1.611453691367	1.308319297748	-1.683382746175	1.333353081290	-0.713300355681
36868.785000000003	446.130447390410	787.561920806534	291.148798669634	245.781477365090	838.563266874652	0.679347904716	0.768837915096	-0.597705117066	0.736280155500	-0.229030909224
36869.785000000003	446.033979334402	786.978951389118	290.600586457757	246.621087979187	839.075525642517	0.194015989444	0.301928532808	-0.105774955601	0.214628591754	-0.014408109166
36870.785000000003	445.608939064350	786.389615139475	291.251663039657	245.909818369485	839.230928925164	-1.247460688913	-1.558982486989	1.449070111669	-1.554947552262	0.072613823613
36871.785000000003	444.019238064245	784.817533198992	293.121726208980	243.471090390509	838.755018326975	-1.718873359029	-2.685721557021	2.354948167331	-2.650834348877	-0.644345778629
36872.785000000003	442.837937856486	782.127801315998	295.048789519684	240.536227798532	836.842798196319	-0.186129084788	-2.891942320062	1.779978253745	-2.578856848981	-2.867647340692
36873.785000000003	442.777808938504	779.445616363671	296.047026208107	237.731436490521	832.937700158974	-0.116853799045	-3.542477942074	1.589862243610	-2.967968113911	-3.822452906571
36874.785000000003	442.814112829578	776.092939436078	297.865960050859	234.614969803141	828.179709455277	0.172139256417	-4.114121673762	2.047243740737	-3.478979484629	-4.566637157250
36875.785000000003	443.031998131470	772.126450219238	300.428775546751	230.974801532364	823.391359262061	0.267530607862	-4.125140409675	2.138991970413	-3.441149168118	-5.060654528461
36876.785000000003	443.483957722556	767.695273814617	302.765513396518	227.320405958178	818.307734397460	0.325664942723	-4.656891938020	2.613678446129	-3.698208412149	-5.401394491231
36877.785000000003	444.001925369715	762.951670789535	305.655853911268	223.721132628397	813.115759304350	0.708331098740	-4.887097564544	2.867165476157	-3.660738292391	-5.741125291169
36878.785000000003	444.750050353403	757.969595739540	308.712375383285	220.408836934996	807.096090840808	1.023610392605	-4.857460305438	3.265206416265	-3.568348389195	-5.999731325882
36879.785000000003	445.625812101257	753.128280466357	312.149495385636	216.992734198168	801.028529049577	1.131770522796	-4.800422944481	3.303199731919	-3.280064375032	-6.089915340037
36880.785000000003	446.720064694668	748.172811058079	316.092157382464	213.856725090109	794.977681776877	1.212444357519	-4.903730275853	3.804381091333	-3.093483058279	-5.933214539595
36881.785000000003	447.957454719353	743.145568714919	320.149110911420	210.870979549423	788.924659154139	1.208295229973	-5.448671914056	4.161027176673	-3.289987600519	-6.176163129630
36882.785000000003	449.429326538420	738.403418204854	324.482401072381	208.133624604810	782.271663525585	1.343673353593	-5.015981281493	4.263346264056	-2.872911114858	-5.962765495797
